Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,90,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,135.0
Vladimir Hernández,16.0,co COL,AM,34,66,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,,,347.0
Gabriel Fuentes,12.0,co COL,DF,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,346.0
Luis González,10.0,ve VEN,AM,33,59,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,,,30.0
Yimmi Chará,8.0,co COL,"FW,MF",32,31,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,,294.0
Bryan Castrillón,15.0,co COL,AM,24,60,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,,297.0
José Enamorado,99.0,co COL,MF,25,30,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,,,8.0
Léider Berrío,7.0,co COL,DM,25,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,228.0
Víctor Cantillo,24.0,co COL,MF,30,45,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,,98.0
Homer Martínez,14.0,co COL,DM,26,90,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,,,107.0
Edwin Herrera,3.0,co COL,LB,25,90,0,0,0,0,0,0,0,0,2,1,0,3,5,1,0,,,141.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,294.0
Jermein Peña,28.0,co COL,CB,24,90,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,,,97.0
Walmer Pacheco,21.0,co COL,RB,29,66,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,,,5.0
Marco Pérez,17.0,co COL,"FW,MF",33,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,125.0
Jefferson Martinez,30.0,co COL,GK,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,158.0
