Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,76,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,,,146.0
Marco Pérez,17.0,co COL,"FW,MF",33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,136.0
Deiber Caicedo,20.0,co COL,AM,23,76,0,1,0,0,2,1,0,0,1,3,1,3,0,0,0,,,313.0
Bryan Castrillón,15.0,co COL,"FW,MF",24,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,308.0
Yimmi Chará,8.0,co COL,AM,32,79,1,0,0,0,2,1,0,0,1,3,0,2,0,1,0,,,305.0
Luis González,10.0,ve VEN,"FW,MF",33,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,41.0
José Enamorado,99.0,co COL,AM,25,90,0,0,0,0,2,0,0,0,2,1,0,3,1,0,0,,,19.0
Víctor Cantillo,24.0,co COL,DM,30,90,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,,,109.0
Didier Moreno,6.0,co COL,DM,32,90,1,0,0,0,1,1,0,0,1,0,0,0,3,3,0,,,139.0
Gabriel Fuentes,12.0,co COL,LB,26,75,1,0,0,0,1,1,0,0,0,2,0,1,1,2,0,,,357.0
Edwin Herrera,3.0,co COL,DF,25,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,152.0
Rafa Pérez,5.0,co COL,CB,34,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,,23.0
Jermein Peña,28.0,co COL,CB,24,70,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,,,108.0
Emanuel Olivera,18.0,ar ARG,DF,33,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,305.0
Walmer Pacheco,21.0,co COL,RB,29,90,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,,,16.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,148.0
