Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Marco Pérez,17.0,co COL,FW,33,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,132.0
Vladimir Hernández,16.0,co COL,AM,34,62,0,0,0,0,0,0,0,0,2,4,1,1,0,0,0,,,354.0
José Enamorado,99.0,co COL,MF,25,28,0,1,0,0,0,0,0,0,2,0,1,3,0,0,0,,,15.0
Luis González,10.0,ve VEN,AM,33,67,1,0,0,0,3,3,0,0,0,0,0,3,0,0,0,,,37.0
Steven Rodríguez,23.0,co COL,FW,25,23,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,,,107.0
Bryan Castrillón,15.0,co COL,AM,24,67,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,,304.0
Omar Albornoz,29.0,co COL,"DF,MF",28,23,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,,,122.0
Homer Martínez,14.0,co COL,DM,26,75,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,,,114.0
Roberto Hinojosa,80.0,co COL,MF,24,15,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,,,210.0
Jhon Vélez,13.0,co COL,DM,20,90,0,0,0,0,1,0,0,0,0,2,0,0,5,1,0,,,187.0
Gabriel Fuentes,12.0,co COL,LB,26,90,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,,,353.0
Rafa Pérez,5.0,co COL,CB,34,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,,19.0
Howell Mena,2.0,co COL,CB,22,90,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,,,284.0
Edwin Herrera,3.0,co COL,RB,25,90,0,0,0,0,0,0,1,0,2,0,0,2,1,2,0,,,148.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144.0
