Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,75,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,,,149.0
Steven Rodríguez,23.0,co COL,FW,25,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,114.0
Deiber Caicedo,20.0,co COL,AM,23,84,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,,,316.0
Léider Berrío,7.0,co COL,MF,25,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,242.0
Yimmi Chará,8.0,co COL,AM,32,78,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,308.0
Luis González,10.0,ve VEN,"FW,MF",33,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,44.0
José Enamorado,99.0,co COL,AM,25,75,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,,,22.0
Bryan Castrillón,15.0,co COL,"FW,MF",24,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,311.0
Víctor Cantillo,24.0,co COL,DM,30,84,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,,,112.0
Didier Moreno,6.0,co COL,MF,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,142.0
Homer Martínez,14.0,co COL,DM,26,90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,121.0
Gabriel Fuentes,12.0,co COL,LB,26,90,0,0,0,0,1,1,0,0,1,1,0,4,0,2,0,,,360.0
Rafa Pérez,5.0,co COL,CB,34,90,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,,,26.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,308.0
Walmer Pacheco,21.0,co COL,RB,29,90,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,,,19.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,151.0
