Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,80,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,,,176.0
Marco Pérez,17.0,co COL,"FW,MF",33,10,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,,,166.0
Deiber Caicedo,20.0,co COL,AM,23,75,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,,,343.0
Johan Bocanegra,27.0,co COL,MF,25,15,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,,,134.0
Luis González,10.0,ve VEN,AM,33,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,71.0
Roberto Hinojosa,80.0,co COL,MF,24,64,0,0,0,0,1,0,0,0,1,2,0,3,0,0,0,,,244.0
Steven Rodríguez,23.0,co COL,FW,25,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,141.0
José Enamorado,99.0,co COL,AM,25,90,0,0,0,0,0,0,0,0,3,3,0,8,1,0,0,,,49.0
Homer Martínez,14.0,co COL,DM,26,75,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,,,148.0
Jhon Vélez,13.0,co COL,FW,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,221.0
Walmer Pacheco,21.0,co COL,DM,29,90,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,,,46.0
Gabriel Fuentes,12.0,co COL,LB,27,90,0,0,0,0,1,1,1,0,2,0,0,1,2,0,0,,,22.0
Didier Moreno,6.0,co COL,CB,32,90,0,0,0,0,0,0,1,0,2,2,2,0,4,0,0,,,169.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,,,335.0
Jermein Peña,28.0,co COL,RB,24,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,,138.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,178.0
