Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,75,1,0,1,1,4,2,0,0,0,0,1,0,0,0,0,,,153.0
Marco Pérez,17.0,co COL,"FW,MF",33,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,143.0
Deiber Caicedo,20.0,co COL,AM,23,75,0,0,0,0,2,0,0,0,0,2,0,2,1,0,0,,,320.0
Bryan Castrillón,15.0,co COL,"FW,MF",24,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,315.0
Yimmi Chará,8.0,co COL,AM,32,83,1,0,0,0,1,1,0,0,1,2,0,5,2,1,0,,,312.0
Homer Martínez,14.0,co COL,"DF,MF",26,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,,,125.0
José Enamorado,99.0,co COL,AM,25,60,0,0,0,0,0,0,0,0,3,0,0,2,2,1,0,,,26.0
Vladimir Hernández,16.0,co COL,"FW,MF",35,30,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,0.0
Víctor Cantillo,24.0,co COL,DM,30,90,0,0,0,0,1,0,0,0,1,2,0,0,1,3,0,,,116.0
Didier Moreno,6.0,co COL,DM,32,90,0,0,0,0,1,0,0,0,2,0,0,0,1,6,0,,,146.0
Gabriel Fuentes,12.0,co COL,LB,26,90,0,0,0,0,1,1,1,0,2,1,0,3,1,3,0,,,364.0
Rafa Pérez,5.0,co COL,CB,34,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,,30.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,312.0
Walmer Pacheco,21.0,co COL,RB,29,83,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,,,23.0
Edwin Herrera,3.0,co COL,DF,25,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,,,159.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,155.0
