Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Marco Pérez,17.0,co COL,FW,33,90,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0,,,160.0
Luis González,10.0,ve VEN,AM,33,60,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,,,65.0
Johan Bocanegra,27.0,co COL,MF,25,30,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,,,128.0
Homer Martínez,14.0,co COL,AM,26,87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,142.0
Jhon Vélez,13.0,co COL,FW,20,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,215.0
José Enamorado,99.0,co COL,AM,25,82,0,0,0,0,1,0,1,0,3,2,0,3,0,1,0,,,43.0
Carlos Bacca,70.0,co COL,FW,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,170.0
Edwin Herrera,3.0,co COL,DM,25,83,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,,,176.0
Walmer Pacheco,21.0,co COL,"DF,MF",29,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,40.0
Didier Moreno,6.0,co COL,DM,32,90,1,0,0,0,2,2,0,0,2,3,0,1,0,0,0,,,163.0
Gabriel Fuentes,12.0,co COL,LB,27,90,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,,,16.0
Deiber Caicedo,20.0,co COL,CB,23,83,1,0,0,0,1,1,0,0,0,1,0,3,0,1,0,,,337.0
Steven Rodríguez,23.0,co COL,FW,25,7,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,,,135.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,,,329.0
Brayan Ceballos,25.0,co COL,RB,22,90,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,,,277.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,172.0
