Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,82,0,0,0,0,5,2,1,0,0,0,2,0,0,0,0,,,163.0
Johan Bocanegra,27.0,co COL,MF,25,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,121.0
Deiber Caicedo,20.0,co COL,AM,23,61,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,330.0
Marco Pérez,17.0,co COL,"FW,MF",33,29,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,,153.0
Yimmi Chará,8.0,co COL,AM,32,90,0,0,0,0,2,0,0,0,0,0,0,4,1,2,0,,,322.0
José Enamorado,99.0,co COL,AM,25,82,0,0,0,0,2,0,0,0,1,1,0,7,1,0,0,,,36.0
Vladimir Hernández,16.0,co COL,"FW,MF",35,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,10.0
Víctor Cantillo,24.0,co COL,DM,30,45,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,126.0
Homer Martínez,14.0,co COL,"DF,MF",26,45,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,,,135.0
Didier Moreno,6.0,co COL,DM,32,73,0,0,0,0,1,0,1,0,1,1,0,0,1,2,1,,,156.0
Luis González,10.0,ve VEN,"FW,MF",33,17,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,,,58.0
Gabriel Fuentes,12.0,co COL,LB,27,90,0,0,0,0,1,0,0,0,1,2,0,5,1,2,0,,,9.0
Rafa Pérez,5.0,co COL,CB,34,90,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,,,40.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,2,0,0,0,1,0,0,0,3,1,0,,,322.0
Walmer Pacheco,21.0,co COL,RB,29,90,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,,,33.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,165.0
