Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Marco Pérez,17.0,co COL,FW,33,90,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,,,146.0
Vladimir Hernández,16.0,co COL,AM,35,73,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,,,3.0
Léider Berrío,7.0,co COL,MF,25,17,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,,,249.0
Luis González,10.0,ve VEN,AM,33,72,0,0,0,0,3,2,0,0,0,4,0,2,0,0,0,,,51.0
Steven Rodríguez,23.0,co COL,FW,25,18,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,,,121.0
Bryan Castrillón,15.0,co COL,AM,24,45,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,,,318.0
Roberto Hinojosa,80.0,co COL,MF,24,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,224.0
Didier Moreno,6.0,co COL,DM,32,90,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,,,149.0
Homer Martínez,14.0,co COL,DM,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,128.0
Fabián Cantillo,4.0,co COL,MF,26,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,147.0
Edwin Herrera,3.0,co COL,LB,25,90,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,,,162.0
Brayan Ceballos,25.0,co COL,CB,22,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,,,263.0
Jermein Peña,28.0,co COL,CB,24,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,118.0
Yeferson Moreno,11.0,co COL,RB,20,80,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,,,26.0
Omar Albornoz,29.0,co COL,"DF,MF",28,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,136.0
Jefferson Martinez,30.0,co COL,GK,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,179.0
