Jugador,núm.,País,Posc,Edad,Mín,Gls.,Ass,TP,TPint,Dis,DaP,TA,TR,Fls,FR,PA,Pcz,TklG,Int,GC,Penal ejecutado,Penal concedido,Dias
Carlos Bacca,70.0,co COL,FW,37,45,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,166.0
Marco Pérez,17.0,co COL,"FW,MF",33,45,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,,,156.0
Deiber Caicedo,20.0,co COL,AM,23,71,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,,,333.0
Léider Berrío,7.0,co COL,MF,25,19,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,259.0
Yimmi Chará,8.0,co COL,AM,32,90,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,,,325.0
José Enamorado,99.0,co COL,AM,25,62,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,,,39.0
Luis González,10.0,ve VEN,"FW,MF",33,28,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,61.0
Didier Moreno,6.0,co COL,DM,32,90,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,,,159.0
Homer Martínez,14.0,co COL,DM,26,90,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,138.0
Gabriel Fuentes,12.0,co COL,LB,27,90,0,0,0,0,0,0,1,0,2,1,0,4,1,2,0,,,12.0
Rafa Pérez,5.0,co COL,CB,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,43.0
Diego Mendoza,26.0,co COL,DF,23,68,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,,,42.0
Bryan Castrillón,15.0,co COL,"FW,MF",24,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,328.0
Emanuel Olivera,18.0,ar ARG,CB,33,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,325.0
Walmer Pacheco,21.0,co COL,RB,29,90,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,,,36.0
Santiago Mele,77.0,uy URU,GK,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,168.0
